City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
114,Bredasdorp,ZA,2021-04-03 13:25:38,-34.5322,20.0403,82.4,34,50,9.22
115,Saint-Philippe,RE,2021-04-03 13:26:16,-21.3585,55.7679,84.2,74,90,4.61
116,Lompoc,US,2021-04-03 13:27:34,34.6391,-120.4579,50.0,87,66,3.44
117,Felanitx,ES,2021-04-03 13:30:40,39.4696,3.1483,72.0,68,20,6.91
118,Oktyabrskoye,RU,2021-04-03 13:26:47,43.0645,44.7417,59.0,47,40,4.47
119,Cidreira,BR,2021-04-03 13:27:07,-30.1811,-50.2056,73.9,70,0,11.86
120,Teya,RU,2021-04-03 13:27:08,60.3778,92.6267,30.31,93,100,6.49
121,Filadelfia,US,2021-04-03 13:30:17,39.9523,-75.1638,39.99,35,1,12.66
122,North Bend,US,2021-04-03 13:26:47,43.4065,-124.2243,43.0,87,20,1.7
123,Rancho Palos Verdes,US,2021-04-03 13:26:55,33.7445,-118.387,55.0,93,7,3.0
124,Alugan,PH,2021-04-03 13:30:41,12.2188,125.4808,80.17,77,8,9.48
125,Calvinia,ZA,2021-04-03 13:30:41,-31.4707,19.776,80.08,26,0,7.85
126,Saskylakh,RU,2021-04-03 13:27:33,71.9167,114.0833,-15.12,97,100,2.48
127,Hambantota,LK,2021-04-03 13:25:54,6.1241,81.1185,87.8,66,0,8.05
128,Laguna,US,2021-04-03 13:26:47,38.421,-121.4238,48.0,81,1,9.22
129,Bambous Virieux,MU,2021-04-03 13:25:42,-20.3428,57.7575,84.2,74,40,11.5
130,Tagbac,PH,2021-04-03 13:30:42,7.089,125.1567,82.4,74,20,4.61
131,Patacamaya,BO,2021-04-03 13:30:43,-17.2333,-67.9167,48.45,63,93,7.2
132,Oistins,BB,2021-04-03 13:25:59,13.0667,-59.5333,82.4,69,40,24.16
133,Yar-Sale,RU,2021-04-03 13:30:43,66.8333,70.8333,28.54,97,99,8.16
134,Tuatapere,NZ,2021-04-03 13:26:52,-46.1333,167.6833,57.99,51,34,13.0
135,Anloga,GH,2021-04-03 13:25:46,5.7947,0.8973,91.4,62,20,12.66
136,Vila Velha,BR,2021-04-03 13:26:04,-20.3297,-40.2925,82.4,69,20,8.05
137,Lagos,NG,2021-04-03 13:27:02,6.5833,3.75,91.4,62,40,6.91
138,Torbay,CA,2021-04-03 13:27:17,47.6666,-52.7314,43.0,100,90,9.22
139,Maceio,BR,2021-04-03 13:26:36,-9.6658,-35.7353,84.2,70,75,2.3
140,Waipawa,NZ,2021-04-03 13:23:07,-41.4122,175.5153,62.01,77,100,23.02
141,Scarborough,GB,2021-04-03 13:30:26,54.2797,-0.4044,46.99,74,14,5.99
142,Pangnirtung,CA,2021-04-03 13:28:36,66.1451,-65.7125,-2.74,67,0,1.83
143,Lodwar,KE,2021-04-03 13:30:45,3.1191,35.5973,94.8,30,100,5.08
144,Nouadhibou,MR,2021-04-03 13:30:45,20.931,-17.0347,77.0,57,86,14.97
145,Eseka,CM,2021-04-03 13:30:45,3.65,10.7667,91.71,42,100,3.22
146,Mannarakkat,IN,2021-04-03 13:30:45,10.9833,76.4667,86.0,70,40,4.61
147,Qaanaaq,GL,2021-04-03 13:25:36,77.484,-69.3632,-13.22,91,100,10.89
148,Hanzhong,CN,2021-04-03 13:30:46,33.0728,107.0303,49.86,92,100,2.37
149,Cutler Ridge,US,2021-04-03 13:30:46,25.5783,-80.3377,70.0,52,90,9.22
150,Merauke,ID,2021-04-03 13:27:35,-8.4667,140.3333,76.53,90,100,9.46
151,Souillac,MU,2021-04-03 13:28:22,-20.5167,57.5167,84.2,74,40,11.5
152,Qasigiannguit,GL,2021-04-03 13:30:47,68.8193,-51.1922,6.8,78,75,16.11
153,Igarka,RU,2021-04-03 13:30:47,67.4667,86.5833,3.07,88,90,8.79
154,Castro,BR,2021-04-03 13:26:06,-24.7911,-50.0119,61.38,83,94,4.81
155,Saint Anthony,US,2021-04-03 13:28:39,45.0205,-93.218,46.99,56,1,5.75
156,Oktyabrskiy,RU,2021-04-03 13:25:52,54.4815,53.471,34.39,99,100,3.85
157,Vaini,TO,2021-04-03 13:25:31,-21.2,-175.2,75.2,100,75,5.93
158,Visconde Do Rio Branco,BR,2021-04-03 13:30:48,-21.0103,-42.8406,77.9,75,72,0.47
159,Vanavara,RU,2021-04-03 13:26:57,60.34,102.2797,24.55,96,100,1.81
160,Santa Fe,AR,2021-04-03 13:30:48,-31.6333,-60.7,77.0,67,48,4.0
161,Shadegan,IR,2021-04-03 13:30:48,30.6497,48.6647,80.6,18,40,21.85
162,Destin,US,2021-04-03 13:30:49,30.3935,-86.4958,57.0,43,1,6.91
163,Yumen,CN,2021-04-03 13:30:49,40.2833,97.2,48.54,41,100,18.34
164,Kavaratti,IN,2021-04-03 13:26:02,10.5669,72.642,83.19,60,100,9.95
165,Waddan,LY,2021-04-03 13:28:38,29.1614,16.139,86.58,10,4,7.09
166,Neepawa,CA,2021-04-03 13:30:50,50.2289,-99.4664,32.0,69,75,10.36
167,Rjukan,NO,2021-04-03 13:30:50,59.8789,8.5941,52.0,33,2,23.0
168,Forecariah,GN,2021-04-03 13:30:51,9.4306,-13.0881,89.6,58,20,9.22
169,Doka,SD,2021-04-03 13:30:51,13.5167,35.7667,100.27,16,49,17.16
170,Dehloran,IR,2021-04-03 13:30:51,32.6941,47.2679,68.05,26,0,20.67
171,Georgetown,MY,2021-04-03 13:25:50,5.4112,100.3354,87.01,74,20,8.05
172,Purpe,RU,2021-04-03 13:30:52,64.4803,76.6897,31.87,89,100,8.16
173,Kamaishi,JP,2021-04-03 13:30:52,39.2667,141.8833,50.22,88,29,7.9
174,Bambanglipuro,ID,2021-04-03 13:26:25,-7.95,110.2833,80.31,81,99,1.77
175,Caxito,AO,2021-04-03 13:30:53,-8.5785,13.6643,84.2,79,75,14.97
176,Monrovia,LR,2021-04-03 13:30:53,6.3005,-10.7969,91.4,62,75,3.44
177,Koupela,BF,2021-04-03 13:30:53,12.1794,-0.3517,100.72,5,3,10.89
178,Pisco,PE,2021-04-03 13:24:52,-13.7,-76.2167,71.6,83,75,1.14
179,Vestmannaeyjar,IS,2021-04-03 13:27:06,63.4427,-20.2734,44.6,81,75,21.85
180,Nikolskoye,RU,2021-04-03 13:26:03,59.7035,30.7861,39.99,70,75,11.18
181,Panacan,PH,2021-04-03 13:30:54,9.2463,118.4082,86.0,74,40,4.61
182,Anadyr,RU,2021-04-03 13:28:07,64.75,177.4833,3.2,85,40,14.27
183,Inuvik,CA,2021-04-03 13:30:54,68.3499,-133.7218,-5.8,84,100,4.61
184,Tuy Hoa,VN,2021-04-03 13:26:57,13.0833,109.3,77.67,90,8,4.83
185,Cherskiy,RU,2021-04-03 13:27:09,68.75,161.3,-17.41,91,55,2.59
186,Doctor Juan Leon Mallorquin,PY,2021-04-03 13:30:55,-25.4,-55.2667,77.0,61,0,3.44
187,Margate,GB,2021-04-03 13:30:55,51.3813,1.3862,48.99,61,100,7.0
188,Walvis Bay,NA,2021-04-03 13:27:08,-22.9575,14.5053,91.4,29,18,10.36
189,Tanggu,CN,2021-04-03 13:30:56,39.0211,117.6469,50.0,66,0,4.47
190,Osakarovka,KZ,2021-04-03 13:30:56,50.565,72.5692,25.09,86,5,8.59
191,Srednekolymsk,RU,2021-04-03 13:30:56,67.45,153.6833,-18.65,100,94,2.82
192,Jardim,BR,2021-04-03 13:30:57,-21.4803,-56.1381,89.06,36,61,5.61
193,Geraldton,AU,2021-04-03 13:26:34,-28.7667,114.6,78.8,50,88,11.5
194,Fare,PF,2021-04-03 13:30:57,-16.7,-151.0167,81.66,73,87,8.01
195,Tura,IN,2021-04-03 13:30:57,25.5198,90.2201,75.7,16,0,2.21
196,Kloulklubed,PW,2021-04-03 13:30:58,7.0419,134.2556,77.0,88,75,9.35
197,Maravilha,BR,2021-04-03 13:30:58,-26.7608,-53.1725,72.0,68,0,6.91
198,Cimitarra,CO,2021-04-03 13:30:59,6.3142,-73.9497,79.32,84,89,2.73
199,Dargaville,NZ,2021-04-03 13:30:59,-35.9333,173.8833,59.65,88,61,2.8
200,Abalak,RU,2021-04-03 13:30:59,58.1286,68.5944,36.27,84,12,8.77
201,Ornskoldsvik,SE,2021-04-03 13:31:00,63.2909,18.7153,39.2,70,90,11.5
202,Garowe,SO,2021-04-03 13:31:00,8.4054,48.4845,94.93,20,4,9.42
203,Imeni Poliny Osipenko,RU,2021-04-03 13:26:10,52.4201,136.4853,27.99,73,98,9.31
204,Tambilil,PH,2021-04-03 13:31:01,5.9622,124.6697,79.75,86,86,2.24
205,Kapoeta,SS,2021-04-03 13:31:01,4.7717,33.5903,84.88,47,100,5.5
206,Lasa,IT,2021-04-03 13:27:57,46.6166,10.7002,66.2,37,20,9.22
207,Carnarvon,AU,2021-04-03 13:25:56,-24.8667,113.6333,82.4,78,0,14.97
208,Port Elizabeth,ZA,2021-04-03 13:26:39,-33.918,25.5701,71.6,60,20,17.27
209,Colac,AU,2021-04-03 13:31:02,-38.3333,143.5833,64.99,63,0,4.25
210,Khatanga,RU,2021-04-03 13:26:51,71.9667,102.5,-19.86,90,15,4.63
211,Tessalit,ML,2021-04-03 13:31:02,20.1986,1.0114,94.59,4,0,11.21
212,Sonoita,MX,2021-04-03 13:31:03,31.85,-112.8333,64.0,33,0,0.49
213,Kashin,RU,2021-04-03 13:31:03,57.3592,37.6081,33.48,97,93,3.4
214,Nuuk,GL,2021-04-03 13:31:03,64.1835,-51.7216,21.2,68,20,13.8
215,Luganville,VU,2021-04-03 13:31:04,-15.5333,167.1667,80.08,86,100,5.23
216,Gat,IL,2021-04-03 13:26:28,31.61,34.7642,64.99,54,0,1.99
217,Nadvoitsy,RU,2021-04-03 13:31:04,63.8667,34.3167,35.62,71,93,2.93
218,Nadym,RU,2021-04-03 13:31:04,65.5333,72.5167,29.79,91,100,8.05
219,Mayo,US,2021-04-03 13:31:05,38.8876,-76.5119,41.0,41,1,8.05
220,Palana,RU,2021-04-03 13:31:05,59.1167,159.9667,-3.19,97,24,7.34
221,Altus,US,2021-04-03 13:31:06,34.6381,-99.334,44.6,70,1,6.91
222,Morros,BR,2021-04-03 13:31:06,-9.4467,-46.3003,83.28,60,39,4.56
223,Omsukchan,RU,2021-04-03 13:26:33,62.5333,155.8,-18.47,99,50,3.83
224,Saint-Denis,FR,2021-04-03 13:31:06,48.9167,2.3333,53.01,53,75,12.66
225,Dingle,PH,2021-04-03 13:26:35,10.9995,122.6711,76.73,78,89,6.33
226,East London,ZA,2021-04-03 13:26:30,-33.0153,27.9116,71.6,60,0,12.66
227,Breves,BR,2021-04-03 13:31:07,-1.6822,-50.4803,85.26,67,88,3.47
228,Ixtapa,MX,2021-04-03 13:31:07,20.7,-105.2,73.0,88,20,1.16
229,Samarkand,UZ,2021-04-03 13:31:08,39.6542,66.9597,66.2,22,40,9.22
230,Mar Del Plata,AR,2021-04-03 13:25:30,-38.0023,-57.5575,66.2,94,75,4.61
231,Tiksi,RU,2021-04-03 13:28:01,71.6872,128.8694,-12.46,99,100,7.36
232,Homer,US,2021-04-03 13:28:11,59.6425,-151.5483,35.6,80,1,5.75
233,Kota Belud,MY,2021-04-03 13:31:08,6.351,116.4305,82.0,83,20,4.61
234,Tombouctou,ML,2021-04-03 13:31:08,20.0,-3.0,100.63,3,51,12.01
235,Delijan,IR,2021-04-03 13:31:09,33.9905,50.6838,59.67,14,0,31.79
236,Saint George,US,2021-04-03 13:27:18,37.1041,-113.5841,53.6,35,1,3.2
237,Sur,OM,2021-04-03 13:31:09,22.5667,59.5289,90.46,36,0,6.13
238,Port-Gentil,GA,2021-04-03 13:27:58,-0.7193,8.7815,87.8,74,40,11.5
239,Tungor,RU,2021-04-03 13:31:10,53.3808,142.9564,26.31,87,100,17.69
240,Awjilah,LY,2021-04-03 13:31:10,29.1081,21.2869,82.47,13,0,4.34
241,Warwick,US,2021-04-03 13:31:10,41.7001,-71.4162,39.0,35,1,12.66
242,Linxia,CN,2021-04-03 13:31:11,35.6003,103.2064,38.84,94,100,2.3
243,Kotido,UG,2021-04-03 13:31:11,2.9806,34.1331,84.38,38,100,7.54
244,Sao Filipe,CV,2021-04-03 13:26:24,14.8961,-24.4956,76.24,61,36,4.54
245,Port Augusta,AU,2021-04-03 13:31:11,-32.5,137.7667,71.6,56,0,8.05
246,Roald,NO,2021-04-03 13:31:12,62.5833,6.1333,44.6,70,75,19.57
247,Mumford,GH,2021-04-03 13:31:12,5.2618,-0.759,83.91,73,98,12.71
